step,price,volume
0,0.9875778005,7
1,0.9826522357,4
2,0.9826522357,24
3,0.9900498337,31
4,1.025315121,20
5,1.048646201,31
6,1.051271096,29
7,1.048646201,25
8,1.035619709,21
9,1.030454534,24
10,1.027881615,23
11,1.017654022,28
12,1.010050167,21
13,1.005012521,20
14,0.9975031224,25
15,1.007528195,20
16,1.025315121,37
17,1.02020134,28
18,1.043416056,19
19,1.053902562,28
20,1.072508181,17
21,1.096913142,23
22,1.11071061,33
23,1.105170918,22
24,1.11071061,24
25,1.099658855,26
26,1.107937302,31
27,1.085998673,26
28,1.096913142,28
29,1.091442264,26
30,1.083287068,17
31,1.077884151,22
32,1.067159024,20
33,1.06983026,25
34,1.080582232,4
35,1.085998673,6
36,1.096913142,4
37,1.096913142,4
38,1.088717067,5
39,1.105170918,22
40,1.088717067,32
41,1.088717067,22
42,1.102411442,29
43,1.121873438,27
44,1.113490861,25
45,1.119072257,16
46,1.11071061,23
47,1.107937302,25
48,1.099658855,31
49,1.12468163,29
50,1.147401706,24
51,1.147401706,26
52,1.138828383,23
53,1.150273799,22
54,1.167657961,22
55,1.188271821,27
56,1.158933285,24
57,1.179393119,21
58,1.173510871,6
59,1.173510871,4
60,1.173510871,4
61,1.179393119,6
62,1.173510871,4
63,1.173510871,4
64,1.179393119,4
65,1.191246217,6
66,1.18234529,5
67,1.179393119,7
68,1.18234529,5
69,1.188271821,4
70,1.194228058,6
71,1.20321844,9
72,1.20321844,6
73,1.188271821,7
74,1.176448318,4
75,1.176448318,4
76,1.164742462,4
77,1.164742462,4
78,1.170580758,4
79,1.170580758,4
80,1.170580758,4
81,1.164742462,4
82,1.170580758,10
83,1.170580758,4
84,1.164742462,4
85,1.158933285,4
86,1.150273799,5
87,1.147401706,5
88,1.153153081,6
89,1.158933285,4
90,1.164742462,4
91,1.167657961,5
92,1.164742462,9
93,1.167657961,5
94,1.167657961,4
95,1.170580758,5
96,1.158933285,6
97,1.153153081,4
98,1.164742462,4
99,1.173510871,7
100,1.161834243,4
101,1.150273799,6
102,1.138828383,4
103,1.127496852,4
104,1.119072257,5
105,1.12468163,4
106,1.13031912,6
107,1.121873438,5
108,1.127496852,4
109,1.127496852,4
110,1.141679016,5
111,1.13031912,4
112,1.12468163,4
113,1.12468163,4
114,1.127496852,9
115,1.133148453,4
116,1.133148453,4
117,1.127496852,4
118,1.127496852,6
119,1.133148453,4
120,1.127496852,4
121,1.121873438,4
122,1.121873438,4
123,1.11627807,4
124,1.11071061,4
125,1.113490861,5
126,1.113490861,4
127,1.105170918,7
128,1.107937302,5
129,1.11071061,5
130,1.102411442,5
131,1.096913142,4
132,1.096913142,4
133,1.094174284,5
134,1.099658855,6
135,1.099658855,4
136,1.099658855,4
137,1.088717067,4
138,1.088717067,6
139,1.096913142,5
140,1.096913142,4
141,1.096913142,4
142,1.096913142,4
143,1.088717067,7
144,1.088717067,4
145,1.088717067,4
146,1.094174284,4
147,1.094174284,4
148,1.096913142,5
149,1.091442264,4
150,1.091442264,4
151,1.080582232,4
152,1.080582232,22
153,1.11071061,23
154,1.096913142,25
155,1.077884151,21
156,1.107937302,27
157,1.105170918,27
158,1.105170918,20
159,1.105170918,22
160,1.102411442,17
161,1.127496852,23
162,1.113490861,21
163,1.13031912,26
164,1.121873438,25
165,1.11071061,28
166,1.119072257,27
167,1.138828383,29
168,1.138828383,22
169,1.138828383,32
170,1.135984868,21
171,1.13031912,26
172,1.141679016,32
173,1.135984868,18
174,1.12468163,22
175,1.138828383,19
176,1.138828383,18
177,1.161834243,20
178,1.188271821,23
179,1.197217363,31
180,1.20321844,24
181,1.20321844,32
182,1.215310986,22
183,1.215310986,22
184,1.209249598,26
185,1.200214151,21
186,1.191246217,27
187,1.191246217,26
188,1.170580758,27
189,1.170580758,28
190,1.179393119,29
191,1.161834243,20
192,1.188271821,25
193,1.170580758,24
194,1.164742462,20
195,1.179393119,25
196,1.191246217,32
197,1.200214151,19
198,1.188271821,26
199,1.197217363,21
200,1.224460085,29
201,1.239861897,23
202,1.24919582,17
203,1.25545744,26
204,1.24919582,20
205,1.268074997,20
206,1.246076731,23
207,1.246076731,22
208,1.236766114,27
209,1.246076731,19
210,1.221402758,26
211,1.20321844,22
212,1.191246217,26
213,1.191246217,18
214,1.173510871,22
215,1.167657961,24
216,1.158933285,25
217,1.133148453,21
218,1.133148453,4
219,1.127496852,4
220,1.127496852,22
221,1.127496852,4
222,1.138828383,4
223,1.150273799,4
224,1.138828383,8
225,1.144536784,4
226,1.150273799,4
227,1.15603957,4
228,1.167657961,8
229,1.173510871,4
230,1.173510871,4
231,1.185304851,4
232,1.173510871,6
233,1.179393119,4
234,1.179393119,6
235,1.185304851,4
236,1.191246217,6
237,1.185304851,6
238,1.185304851,4
239,1.185304851,4
240,1.176448318,9
241,1.18234529,4
242,1.176448318,4
243,1.176448318,4
244,1.170580758,4
245,1.164742462,4
246,1.164742462,4
247,1.170580758,4
248,1.170580758,4
249,1.176448318,4
250,1.170580758,4
251,1.176448318,4
252,1.176448318,4
253,1.176448318,4
254,1.176448318,4
255,1.176448318,4
256,1.176448318,4
257,1.173510871,7
258,1.167657961,4
259,1.167657961,6
260,1.167657961,8
261,1.173510871,6
262,1.173510871,4
263,1.167657961,4
264,1.161834243,4
265,1.15603957,4
266,1.153153081,5
267,1.150273799,5
268,1.161834243,4
269,1.167657961,4
270,1.170580758,5
271,1.176448318,4
272,1.18234529,4
273,1.185304851,5
274,1.173510871,4
275,1.170580758,7
276,1.164742462,4
277,1.170580758,4
278,1.173510871,5
279,1.161834243,4
280,1.158933285,7
281,1.153153081,4
282,1.161834243,7
283,1.15603957,4
284,1.153153081,5
285,1.158933285,4
286,1.158933285,4
287,1.158933285,4
288,1.164742462,4
289,1.164742462,4
290,1.170580758,8
291,1.164742462,4
292,1.170580758,4
293,1.158933285,4
294,1.153153081,4
295,1.153153081,4
296,1.158933285,4
297,1.153153081,4
298,1.141679016,4
299,1.135984868,4
300,1.141679016,6
301,1.135984868,4
302,1.135984868,4
303,1.13031912,4
304,1.12468163,4
305,1.13031912,4
306,1.13031912,6
307,1.135984868,4
308,1.135984868,4
309,1.135984868,4
310,1.133148453,7
311,1.121873438,28
312,1.121873438,26
313,1.113490861,25
314,1.11627807,27
315,1.094174284,24
316,1.099658855,24
317,1.096913142,23
318,1.085998673,18
319,1.06983026,24
320,1.083287068,19
321,1.080582232,19
322,1.088717067,33
323,1.088717067,24
324,1.094174284,20
325,1.094174284,16
326,1.088717067,26
327,1.107937302,27
328,1.113490861,24
329,1.11627807,5
330,1.11071061,4
331,1.105170918,4
332,1.11071061,4
333,1.107937302,7
334,1.102411442,4
335,1.091442264,4
336,1.094174284,5
337,1.099658855,6
338,1.102411442,7
339,1.11071061,5
340,1.119072257,7
341,1.107937302,8
342,1.096913142,4
343,1.091442264,4
344,1.085998673,4
345,1.096913142,4
346,1.096913142,4
347,1.11627807,9
348,1.105170918,4
349,1.091442264,23
350,1.091442264,28
351,1.075192806,26
352,1.113490861,26
353,1.127496852,27
354,1.107937302,27
355,1.107937302,4
356,1.113490861,4
357,1.113490861,4
358,1.11071061,5
359,1.11627807,4
360,1.11627807,4
361,1.119072257,7
362,1.12468163,4
363,1.12468163,4
364,1.12468163,4
365,1.12468163,6
366,1.127496852,5
367,1.121873438,4
368,1.11071061,4
369,1.105170918,4
370,1.105170918,4
371,1.119072257,5
372,1.12468163,4
373,1.12468163,4
374,1.119072257,4
375,1.113490861,4
376,1.11627807,5
377,1.113490861,7
378,1.121873438,7
379,1.121873438,4
380,1.11627807,4
381,1.11627807,4
382,1.11071061,4
383,1.11627807,4
384,1.127496852,8
385,1.121873438,4
386,1.113490861,5
387,1.113490861,4
388,1.113490861,4
389,1.107937302,6
390,1.11627807,5
391,1.11627807,4
392,1.121873438,4
393,1.121873438,4
394,1.133148453,4
395,1.144536784,6
396,1.141679016,5
397,1.147401706,4
398,1.15603957,5
399,1.15603957,4
400,1.150273799,4
401,1.150273799,24
402,1.158933285,27
403,1.176448318,24
404,1.185304851,23
405,1.176448318,19
406,1.188271821,26
407,1.188271821,18
408,1.170580758,22
409,1.191246217,25
410,1.170580758,25
411,1.161834243,25
412,1.153153081,25
413,1.176448318,26
414,1.173510871,15
415,1.18234529,29
416,1.161834243,27
417,1.176448318,23
418,1.147401706,28
419,1.133148453,19
420,1.127496852,20
421,1.144536784,24
422,1.153153081,25
423,1.153153081,24
424,1.121873438,27
425,1.121873438,26
426,1.11071061,34
427,1.096913142,25
428,1.102411442,14
429,1.107937302,20
430,1.083287068,19
431,1.083287068,16
432,1.06983026,35
433,1.075192806,20
434,1.080582232,20
435,1.088717067,21
436,1.067159024,22
437,1.072508181,30
438,1.064494459,23
439,1.051271096,27
440,1.051271096,28
441,1.053902562,19
442,1.033033893,26
443,1.043416056,20
444,1.053902562,22
445,1.06983026,28
446,1.080582232,22
447,1.083287068,15
448,1.094174284,22
449,1.099658855,16
450,1.099658855,24
451,1.12468163,17
452,1.144536784,27
453,1.135984868,27
454,1.135984868,30
455,1.127496852,19
456,1.153153081,17
457,1.161834243,23
458,1.135984868,41
459,1.133148453,23
460,1.133148453,26
461,1.144536784,24
462,1.164742462,17
463,1.176448318,26
464,1.176448318,18
465,1.158933285,34
466,1.147401706,26
467,1.135984868,28
468,1.150273799,23
469,1.12468163,23
470,1.102411442,24
471,1.096913142,34
472,1.11627807,19
473,1.127496852,30
474,1.133148453,30
475,1.105170918,22
476,1.088717067,22
477,1.075192806,33
478,1.099658855,25
479,1.105170918,20
480,1.12468163,31
481,1.135984868,24
482,1.135984868,22
483,1.135984868,20
484,1.119072257,30
485,1.099658855,27
486,1.11627807,36
487,1.13031912,21
488,1.12468163,22
489,1.161834243,27
490,1.161834243,20
491,1.138828383,24
492,1.121873438,22
493,1.12468163,19
494,1.12468163,14
495,1.119072257,20
496,1.144536784,23
497,1.12468163,21
498,1.133148453,25
499,1.141679016,23
500,1.11627807,27
501,1.094174284,28
502,1.099658855,32
503,1.085998673,25
504,1.06983026,28
505,1.067159024,27
506,1.06983026,31
507,1.085998673,22
508,1.064494459,24
509,1.067159024,27
510,1.067159024,26
511,1.059185271,17
512,1.053902562,16
513,1.04602786,21
514,1.043416056,13
515,1.04602786,27
516,1.04602786,30
517,1.030454534,14
518,1.017654022,25
519,1.005012521,23
520,1.02020134,26
521,1.025315121,14
522,1.043416056,27
523,1.067159024,27
524,1.06983026,19
525,1.059185271,20
526,1.025315121,29
527,1.030454534,4
528,1.043416056,7
529,1.053902562,24
530,1.056540615,27
531,1.077884151,16
532,1.072508181,22
533,1.091442264,23
534,1.094174284,19
535,1.091442264,19
536,1.088717067,23
537,1.077884151,28
538,1.075192806,27
539,1.080582232,28
540,1.091442264,22
541,1.102411442,32
542,1.13031912,24
543,1.12468163,22
544,1.150273799,19
545,1.147401706,15
546,1.147401706,22
547,1.135984868,20
548,1.161834243,25
549,1.150273799,20
550,1.15603957,24
551,1.144536784,20
552,1.141679016,25
553,1.161834243,23
554,1.15603957,22
555,1.150273799,26
556,1.13031912,21
557,1.133148453,21
558,1.12468163,25
559,1.119072257,26
560,1.105170918,27
561,1.096913142,17
562,1.102411442,30
563,1.105170918,19
564,1.107937302,19
565,1.091442264,20
566,1.083287068,17
567,1.105170918,26
568,1.099658855,22
569,1.105170918,18
570,1.113490861,27
571,1.121873438,15
572,1.144536784,28
573,1.135984868,17
574,1.141679016,14
575,1.15603957,21
576,1.138828383,30
577,1.144536784,20
578,1.13031912,27
579,1.133148453,27
580,1.133148453,26
581,1.096913142,19
582,1.119072257,26
583,1.119072257,24
584,1.135984868,32
585,1.141679016,28
586,1.141679016,26
587,1.144536784,27
588,1.11627807,24
589,1.102411442,27
590,1.085998673,24
591,1.091442264,24
592,1.119072257,24
593,1.147401706,22
594,1.164742462,28
595,1.170580758,28
596,1.20321844,29
597,1.200214151,15
598,1.209249598,19
599,1.200214151,23
600,1.218353065,28
601,1.221402758,29
602,1.221402758,20
603,1.224460085,25
604,1.236766114,20
605,1.230597717,20
606,1.236766114,28
607,1.227525065,21
608,1.224460085,27
609,1.236766114,22
610,1.23367806,23
611,1.221402758,26
612,1.215310986,18
613,1.206230249,19
614,1.194228058,24
615,1.179393119,23
616,1.179393119,26
617,1.176448318,21
618,1.15603957,27
619,1.158933285,25
620,1.127496852,21
621,1.11627807,24
622,1.11627807,34
623,1.127496852,20
624,1.13031912,23
625,1.105170918,23
626,1.107937302,27
627,1.113490861,34
628,1.107937302,18
629,1.11071061,21
630,1.11627807,16
631,1.11627807,22
632,1.12468163,23
633,1.127496852,23
634,1.133148453,18
635,1.13031912,7
636,1.133148453,5
637,1.133148453,4
638,1.133148453,4
639,1.133148453,4
640,1.133148453,4
641,1.127496852,4
642,1.133148453,4
643,1.133148453,4
644,1.127496852,4
645,1.11627807,4
646,1.107937302,29
647,1.091442264,20
648,1.091442264,24
649,1.107937302,20
650,1.107937302,18
651,1.088717067,27
652,1.077884151,28
653,1.067159024,20
654,1.06983026,23
655,1.077884151,33
656,1.094174284,30
657,1.085998673,23
658,1.06983026,32
659,1.053902562,28
660,1.051271096,19
661,1.038211997,23
662,1.017654022,20
663,1.027881615,28
664,1.025315121,27
665,1.048646201,23
666,1.04602786,25
667,1.053902562,13
668,1.056540615,23
669,1.051271096,20
